Sex;Length;Diameter;Height;Whole;Shucked;Viscera;Shellweight;Rings
M;0.545;0.42;0.14;0.7505;medio;0.13;0.255;22
I;0.44;0.345;0.1;0.366;medio;0.0905;0.12;13
M;0.5;0.41;0.15;0.662;medio;0.137;0.22;11
I;0.36;0.275;0.095;0.217;medio;0.0435;0.09;7
I;0.385;0.305;0.095;0.252;medio;0.055;0.09;14
M;0.39;0.3;0.09;0.3055;medio;0.0645;0.085;9
M;0.5;0.415;0.165;0.6885;medio;0.138;0.25;13
I;0.36;0.275;0.11;0.2335;medio;0.0525;0.085;10
I;0.335;0.26;0.1;0.192;medio;0.0585;0.07;8
F;0.505;0.425;0.14;0.85;medio;0.1625;0.285;19
I;0.395;0.295;0.1;0.2715;medio;0.0325;0.085;10
F;0.41;0.325;0.105;0.3635;medio;0.077;0.12;10
F;0.56;0.455;0.19;0.714;medio;0.129;0.275;9
M;0.565;0.435;0.185;0.9815;medio;0.136;0.39;13
M;0.565;0.455;0.185;0.9265;medio;0.1575;0.375;16
M;0.605;0.5;0.175;1.098;medio;0.232;0.375;12
F;0.565;0.455;0.15;0.8205;medio;0.159;0.26;18
M;0.725;0.565;0.215;1.891;pesado;0.4725;0.58;16
F;0.675;0.535;0.16;1.41;pesado;0.3175;0.42;16
F;0.665;0.555;0.195;1.4385;pesado;0.354;0.36;17
F;0.565;0.49;0.155;0.9245;medio;0.2195;0.255;11
F;0.645;0.55;0.175;1.2915;pesado;0.3045;0.33;14
M;0.575;0.47;0.14;0.8375;medio;0.1735;0.24;11
F;0.64;0.54;0.175;1.221;pesado;0.259;0.39;15
I;0.36;0.28;0.105;0.199;medio;0.045;0.08;9
I;0.415;0.31;0.11;0.2965;medio;0.057;0.0995;10
F;0.525;0.41;0.135;0.7085;medio;0.1525;0.235;11
M;0.38;0.285;0.1;0.2665;medio;0.061;0.075;11
F;0.585;0.465;0.17;0.9915;medio;0.224;0.265;12
I;0.24;0.185;0.07;0.0715;medio;0.018;0.025;6
I;0.22;0.165;0.055;0.0545;medio;0.012;0.02;5
I;0.255;0.195;0.07;0.0735;medio;0.02;0.025;6
I;0.175;0.125;0.05;0.0235;liviano;0.0035;0.008;5
F;0.67;0.55;0.19;1.3905;pesado;0.3035;0.4;12
M;0.655;0.53;0.195;1.388;pesado;0.2735;0.41;13
F;0.68;0.55;0.21;1.7445;pesado;0.305;0.625;17
M;0.675;0.555;0.2;1.4385;pesado;0.2665;0.465;21
F;0.53;0.44;0.135;0.7835;medio;0.1715;0.2185;9
F;0.515;0.405;0.12;0.646;medio;0.1405;0.177;10
I;0.43;0.34;0.12;0.3575;medio;0.0645;0.1045;9
F;0.52;0.405;0.12;0.627;medio;0.1415;0.181;11
F;0.545;0.415;0.16;0.7715;medio;0.1455;0.2765;10
M;0.53;0.415;0.175;0.7395;medio;0.1395;0.2645;17
F;0.465;0.35;0.115;0.421;medio;0.091;0.1345;9
M;0.665;0.54;0.175;1.347;medio;0.254;0.415;17
M;0.735;0.59;0.225;1.756;pesado;0.3405;0.58;21
M;0.66;0.545;0.185;1.32;pesado;0.2635;0.455;16
F;0.7;0.585;0.185;1.8075;pesado;0.3215;0.475;29
M;0.575;0.4;0.155;0.9325;medio;0.2445;0.3;17
M;0.57;0.465;0.125;0.849;medio;0.1765;0.24;15
F;0.58;0.46;0.15;0.9955;medio;0.212;0.26;19
M;;0.48;0.145;1.0115;medio;0.237;0.305;12
F;0.585;0.465;0.14;0.908;medio;0.1615;0.315;13
M;0.55;0.45;0.13;0.92;medio;0.2385;0.29;11
F;0.625;0.515;0.15;1.2415;pesado;0.3065;0.36;15
M;0.54;0.42;0.135;0.8075;medio;0.1795;0.235;11
F;0.57;0.455;0.165;1.0595;medio;0.2195;0.285;14
M;0.59;0.455;0.145;1.073;medio;0.19;0.285;14
M;0.58;0.46;0.13;0.921;medio;0.181;0.29;13
F;0.655;0.51;0.155;1.2895;pesado;0.2855;0.41;11
M;0.655;0.53;0.175;1.2635;medio;0.2635;0.415;15
M;0.625;0.5;0.195;1.369;pesado;0.2185;0.37;17
F;0.625;0.5;0.15;0.953;medio;0.2235;0.305;15
F;0.64;0.52;0.175;1.248;medio;0.2595;0.48;12
F;0.605;0.485;0.165;1.0105;medio;0.209;0.3;19
F;0.615;0.525;0.155;1.0385;medio;0.2315;0.345;11
M;0.555;0.45;0.175;0.874;medio;0.202;0.305;10
F;0.58;0.44;0.18;0.854;medio;0.1635;0.245;12
F;0.62;0.52;0.225;1.1835;medio;0.27;0.395;23
F;0.62;0.47;0.225;1.115;medio;0.2145;0.36;15
F;0.6;0.505;0.19;1.129;medio;0.256;0.36;13
F;0.625;0.485;0.19;1.1745;medio;0.2305;0.42;17
M;0.6;0.47;0.175;1.105;medio;0.247;0.315;15
M;0.56;0.46;0.235;0.8395;medio;0.157;0.305;12
M;0.585;0.455;0.225;1.055;medio;0.221;0.365;7500
M;;0.435;0.18;0.889;medio;0.204;0.25;11
I;0.56;0.445;0.155;0.8735;medio;0.209;0.275;16
I;0.68;0.53;0.185;1.1095;medio;0.245;0.34;10
F;0.455;0.35;0.14;0.5185;medio;0.1265;0.135;10
F;0.49;0.38;0.145;0.6725;medio;0.181;0.21;10
M;0.31;0.22;0.085;0.146;medio;0.0365;0.045;6
F;0.275;0.195;0.07;0.08;medio;0.0215;0.025;5
M;0.27;0.195;0.08;0.1;medio;0.0195;0.03;6
M;0.4;0.29;0.115;0.2795;medio;0.0575;0.075;9
M;0.28;0.2;0.08;0.0915;medio;0.0215;0.03;5
M;0.325;0.23;0.09;0.147;medio;0.034;0.045;4
F;0.345;0.25;0.09;0.203;medio;0.059;0.055;6
M;0.21;0.15;0.05;0.0385;medio;0.0085;0.01;3
F;0.36;0.27;0.09;0.1885;medio;0.0385;0.055;5
I;0.365;0.26;0.115;0.218;medio;0.0445;0.07;9
M;0.2;0.14;0.055;0.035;medio;0.008;0.01;5
M;0.235;0.16;0.06;0.0545;medio;0.0095;0.015;4
M;0.175;0.125;0.04;0.024;liviano;0.006;0.005;4
M;0.155;0.11;0.04;0.0155;liviano;0.003;0.005;3
F;0.57;0.445;0.155;0.733;medio;0.159;0.235;14
F;0.57;0.45;0.16;0.9715;medio;0.255;0.26;12
M;0.385;0.3;0.095;0.24;medio;0.059;0.085;9
I;0.53;0.42;0.185;0.752;medio;0.156;0.205;20
F;0.46;0.355;0.13;0.458;medio;0.1055;0.13;13
I;0.47;0.37;0.12;0.4705;medio;0.1055;0.155;12
F;0.435;0.335;0.11;0.38;medio;0.086;0.11;9
I;0.47;0.37;0.14;0.4985;medio;0.1225;0.145;10
I;0.465;0.38;0.13;0.454;medio;0.08;0.155;11
I;0.52;0.405;0.14;0.5775;medio;0.145;0.179;11
M;0.29;0.23;0.075;0.1165;medio;0.0255;0.04;7
M;0.275;0.205;0.07;0.094;medio;0.02;0.0325;5
F;0.375;0.29;0.115;0.2705;medio;0.066;0.0885;10
F;0.5;0.375;0.14;0.604;medio;0.1415;0.179;15
F;0.44;0.355;0.115;0.415;medio;0.0925;0.131;14
M;0.42;0.325;0.115;0.2885;medio;0.057;0.1135;15
M;0.445;0.35;0.115;0.3615;medio;0.0695;0.117;8
F;0.38;0.29;0.105;0.257;medio;0.051;0.085;10
M;0.32;0.245;0.075;0.1555;medio;0.038;0.049;11
M;0.255;0.195;0.065;0.08;medio;0.018;0.027;8
M;0.205;0.155;0.045;0.0425;medio;0.0055;0.0155;7
F;0.565;0.45;0.16;0.795;medio;0.1555;0.23;12
I;0.555;0.425;0.18;0.875;medio;0.2005;0.255;11
I;0.65;0.515;0.16;1.1625;medio;0.203;0.33;17
I;0.615;0.49;0.155;0.9885;medio;0.195;0.345;13
I;0.56;0.44;0.165;0.8;medio;0.1735;0.25;12
I;0.48;0.37;0.12;0.514;medio;0.131;0.155;13
I;0.485;0.39;0.125;0.591;medio;0.141;0.12;9
I;0.5;0.385;0.15;0.6265;medio;0.1665;0.16;10
I;0.525;0.405;0.15;0.795;medio;0.205;0.255;14
F;0.66;0.5;0.165;1.1905;medio;0.298;0.37;12
F;0.66;0.53;0.17;1.326;pesado;0.2625;0.44;13
I;0.52;0.4;0.145;0.66;medio;0.1055;0.22;13
F;0.44;0.34;0.105;0.364;medio;0.0805;0.1175;8
I;0.515;0.4;0.12;0.659;medio;0.179;0.17;13
F;0.475;0.35;0.115;0.452;medio;0.092;0.155;11
F;0.545;0.415;0.15;0.7335;medio;0.163;0.2185;11
F;0.47;0.355;0.13;0.5465;medio;0.126;0.185;14
M;0.35;0.255;0.065;0.179;medio;0.0385;0.06;10
I;0.485;0.355;0.13;0.581;medio;0.132;0.168;12
I;0.435;0.33;0.125;0.406;medio;0.1055;0.096;12
M;0.28;0.21;0.08;0.1085;medio;0.0265;0.0345;7
F;0.41;0.32;0.115;0.387;medio;0.1005;0.0985;11
I;0.45;0.35;0.14;0.474;medio;0.109;0.1275;16
I;0.45;0.345;0.135;0.443;medio;0.0875;0.1175;14
F;0.59;0.455;0.155;1.066;medio;0.2275;0.415;20
F;0.57;0.44;0.14;0.9535;medio;0.201;0.305;17
I;0.61;0.475;0.15;0.9665;medio;0.2;0.345;10
F;0.61;0.475;0.14;1.133;pesado;0.2355;0.35;11
I;0.56;0.425;0.14;0.9175;medio;0.1975;0.26;10
F;0.585;0.435;0.175;0.982;medio;0.2495;0.27;10
I;0.58;0.445;0.15;0.8865;medio;0.209;0.255;11
F;0.63;0.48;0.175;1.3675;pesado;0.3035;0.515;17
F;0.625;0.49;0.175;1.233;pesado;0.247;0.365;11
I;0.55;0.425;0.15;0.806;medio;0.171;0.245;14
F;0.645;0.525;0.19;1.4635;pesado;0.3435;0.435;19
I;0.46;0.355;0.14;0.4935;medio;0.133;0.115;13
F;0.41;0.305;0.1;0.363;medio;0.065;0.11;11
I;0.495;0.39;0.125;0.6655;medio;0.162;0.2;11
I;0.52;0.425;0.17;0.6805;medio;0.174;0.195;10
F;0.55;0.41;0.145;0.8285;medio;0.1905;0.25;13
M;0.45;0.335;0.14;0.4625;medio;0.076;0.15;14
F;0.405;0.31;0.12;0.3095;medio;0.058;0.095;13
I;0.51;0.4;0.15;0.745;medio;0.1675;0.235;13
F;0.37;0.29;0.115;0.25;medio;0.057;0.075;9
I;0.525;0.41;0.175;0.874;medio;0.207;0.205;18
F;0.66;0.52;0.18;1.514;pesado;0.2975;0.42;19
M;0.535;0.42;0.15;0.6995;medio;0.153;0.24;12
I;0.575;0.455;0.18;0.8525;medio;0.1825;0.3;13
F;0.55;0.43;0.14;0.7135;medio;0.186;0.225;9
I;0.605;0.47;0.14;0.939;medio;0.201;0.32;13
I;0.605;0.495;0.145;1.054;medio;0.2255;0.36;12
F;0.56;0.445;0.195;0.981;medio;0.2245;0.335;16
I;0.535;0.42;0.145;0.926;medio;0.1965;0.25;17
F;0.385;0.315;0.11;0.286;medio;0.0635;0.0835;10
F;0.39;0.3;0.1;0.265;medio;0.06;0.0865;13
I;0.47;0.345;0.115;0.4885;medio;0.108;0.166;11
I;;0.39;0.14;0.5555;medio;0.1135;0.2235;12
I;0.425;0.345;0.125;0.425;medio;0.0795;0.154;13
M;0.345;0.27;0.09;0.195;medio;0.0455;0.059;9
I;0.485;0.37;0.13;0.458;medio;0.113;0.136;10
M;0.37;0.285;0.1;0.228;medio;0.0675;0.081;10
M;0.35;0.265;0.09;0.1775;medio;0.042;0.068;12
F;0.44;0.345;0.17;0.4085;medio;0.0825;0.1515;12
M;0.195;0.145;0.05;0.032;medio;0.008;0.012;4
M;0.325;0.24;0.075;0.155;medio;0.0355;0.06;9
I;0.495;0.37;0.125;0.4775;medio;0.0705;0.169;18
I;0.45;0.35;0.145;0.525;medio;0.1;0.1655;15
M;0.415;0.345;0.135;0.3865;medio;0.07;0.148;13
F;0.47;0.355;0.14;0.433;medio;0.095;0.152;12
M;0.32;0.24;0.085;0.17;medio;0.047;0.049;7
M;0.31;0.225;0.075;0.1295;medio;0.0335;0.044;9
M;0.235;0.17;0.055;0.0515;medio;0.0105;0.0195;7
M;0.345;0.255;0.08;0.169;medio;0.0425;0.054;10
I;0.485;0.38;0.14;0.673;medio;0.13;0.195;18
F;0.5;0.385;0.115;0.6785;medio;0.138;0.195;12
F;0.5;0.385;0.105;0.498;medio;0.1095;0.17;17
I;0.465;0.36;0.105;0.498;medio;0.116;0.14;15
F;0.525;0.405;0.16;0.658;medio;0.1125;0.225;12
F;0.425;0.335;0.095;0.322;medio;0.061;0.125;10
F;0.38;0.305;0.095;0.2815;medio;0.0525;0.09;8
I;0.53;0.415;0.145;0.944;medio;0.185;0.265;21
M;0.34;0.265;0.085;0.1835;medio;0.046;0.065;10
I;0.475;0.365;0.115;0.49;medio;0.1235;0.1335;9
F;0.43;0.34;0.12;0.391;medio;0.095;0.1405;7
M;0.46;0.365;0.125;0.467;medio;0.0945;0.158;10
I;0.47;0.36;0.13;0.5225;medio;0.1065;0.165;9
M;0.36;0.295;0.1;0.2105;medio;0.0525;0.075;9
M;0.355;0.265;0.09;0.168;medio;0.041;0.063;8
M;0.38;0.235;0.1;0.258;medio;0.054;0.08;7
M;0.355;0.26;0.085;0.1905;medio;0.0485;0.055;6
I;0.44;0.345;0.12;0.487;medio;0.108;0.16;14
F;0.51;0.4;0.13;0.5735;medio;0.1365;0.195;13
M;0.325;0.24;0.085;0.173;medio;0.038;0.05;7
I;0.62;0.485;0.18;1.1785;medio;0.2655;0.39;13
F;0.59;0.45;0.16;0.9;medio;0.156;0.315;19
M;0.33;0.255;0.095;0.1875;medio;0.045;0.06;7
M;0.45;0.34;0.13;0.3715;medio;0.0795;0.105;9
I;0.445;0.33;0.12;0.347;medio;0.084;0.105;11
M;0.33;0.215;0.075;0.1145;medio;0.0265;0.035;6
M;0.48;0.375;0.145;0.777;medio;0.13;0.17;9
I;0.46;0.35;0.12;0.4885;medio;0.105;0.155;11
F;0.475;0.36;0.125;0.447;medio;0.081;0.14;9
M;0.255;0.18;0.065;0.079;medio;0.014;0.025;5
I;0.335;0.245;0.09;0.1665;medio;0.04;0.06;6
I;0.47;0.35;0.13;0.466;medio;0.099;0.145;11
M;0.31;0.225;0.08;0.1345;medio;0.024;0.05;7
F;0.37;0.28;0.11;0.2305;medio;0.0465;0.075;10
M;0.295;0.215;0.075;0.129;medio;0.0295;0.04;7
F;0.555;0.435;0.165;0.97;medio;0.2315;0.295;17
F;0.615;0.515;0.17;1.14;medio;0.2245;0.42;16
I;0.58;0.49;0.195;1.3165;pesado;0.254;0.41;18
F;0.585;0.475;0.185;0.9585;medio;0.1615;0.33;11
I;0.65;0.525;0.18;1.626;pesado;0.3445;0.53;18
I;0.535;0.45;0.17;0.781;medio;0.1555;0.295;11
F;0.415;0.34;0.13;0.3675;medio;0.0885;0.12;10
F;0.38;0.305;0.105;0.281;medio;0.0615;0.09;12
I;0.45;0.355;0.12;0.412;medio;0.0665;0.16;19
F;0.395;0.295;0.095;0.2245;medio;0.054;0.08;10
M;0.455;0.35;0.12;0.4835;medio;0.144;0.16;11
F;0.485;0.38;0.15;0.605;medio;0.14;0.18;15
M;0.55;0.425;0.155;0.9175;medio;0.243;0.335;13
F;0.45;0.35;0.145;0.5425;medio;0.123;0.175;13
M;0.475;0.385;0.145;0.6175;medio;0.108;0.215;14
F;0.5;0.38;0.155;0.655;medio;0.143;0.205;17
F;0.53;0.41;0.165;0.8115;medio;0.169;0.24;19
M;0.49;0.39;0.15;0.573;medio;0.124;0.17;21
F;0.49;0.385;0.15;0.7865;medio;0.14;0.24;23
F;0.52;0.395;0.18;0.64;medio;0.11;0.245;22
M;0.54;0.415;0.145;0.74;medio;0.168;0.245;12
F;0.5;0.375;0.115;0.5945;medio;0.148;0.19;11
F;0.45;0.38;0.165;0.8165;medio;0.1915;0.265;23
F;0.37;0.275;0.1;0.2225;medio;0.026;0.08;8
I;0.37;0.275;0.1;0.2295;medio;0.0465;0.07;7
M;0.485;0.37;0.14;0.5725;medio;0.1415;0.175;10
F;0.435;0.325;0.115;0.3915;medio;0.094;0.12;7
M;0.535;0.405;0.185;0.8345;medio;0.1725;0.29;16
M;0.51;0.4;0.14;0.6515;medio;0.1665;0.185;10
M;0.565;0.44;0.185;0.909;medio;0.2325;0.255;15
F;0.535;0.4;0.15;0.8045;medio;0.2125;0.21;13
F;0.535;0.405;0.125;0.927;medio;0.1425;0.345;16
M;0.525;0.4;0.17;0.7305;medio;0.2055;0.195;11
M;0.59;0.44;0.15;0.9555;medio;0.2425;0.295;11
M;0.5;0.375;0.15;0.636;medio;0.145;0.19;10
I;0.255;0.19;0.075;0.0865;medio;0.0205;0.025;5
F;0.43;0.325;0.115;0.3865;medio;0.1065;0.11;11
M;0.38;0.29;0.12;0.283;medio;0.0655;0.085;9
I;0.165;0.11;0.02;0.019;liviano;0.0025;0.005;4
I;0.315;0.23;0.09;0.1285;medio;0.04;0.04;7
I;0.155;0.105;0.05;0.0175;liviano;0.0035;0.005;4
M;0.28;0.205;0.1;0.1165;medio;0.0285;0.03;5
F;0.43;0.335;0.12;0.444;medio;0.1145;0.14;13
F;0.395;0.315;0.105;0.3515;medio;0.091;0.1195;16
M;0.385;0.285;0.105;0.2905;medio;0.0685;0.0875;12
F;0.48;0.385;0.135;0.536;medio;0.142;0.173;14
F;0.445;0.33;0.105;0.4525;medio;0.103;0.123;9
M;0.395;0.295;0.115;0.316;medio;0.0595;0.1105;12
M;0.4;0.3;0.125;0.417;medio;0.09;0.1175;9
M;0.415;0.325;0.14;0.417;medio;0.1015;0.144;10
M;0.315;0.25;0.09;0.203;medio;0.037;0.0795;11
F;0.345;0.26;0.09;0.207;medio;0.0435;0.0765;10
M;0.36;0.295;0.13;0.2765;medio;0.057;0.1005;10
I;0.295;0.225;0.09;0.1105;medio;0.0245;0.032;7
I;0.325;0.25;0.08;0.176;medio;0.0355;0.063;7
M;0.375;0.3;0.1;0.2465;medio;0.0475;0.083;11
I;0.28;0.205;0.055;0.1135;medio;0.0275;0.0335;7
M;0.355;0.265;0.085;0.201;medio;0.053;0.0695;8
M;0.35;0.255;0.08;0.1915;medio;0.0385;0.063;9
I;0.275;0.2;0.065;0.1035;medio;0.0205;0.03;7
I;0.29;0.205;0.07;0.0975;medio;0.019;0.035;8
I;0.25;0.19;0.06;0.0765;medio;0.0115;0.0245;6
I;0.18;0.125;0.035;0.0265;liviano;0.0055;0.0085;4
I;0.15;0.1;0.025;0.015;liviano;0.004;0.005;2
I;0.16;0.11;0.025;0.018;liviano;0.0055;0.005;3
M;0.555;0.455;0.16;1.0575;medio;0.228;0.293;13
M;0.555;0.44;0.15;1.092;medio;0.212;0.4405;15
M;0.525;0.41;0.13;0.99;medio;0.243;0.295;15
M;0.465;0.36;0.08;0.488;medio;0.125;0.155;11
F;0.49;0.36;0.11;0.5005;medio;0.107;0.195;17
M;0.4;0.305;0.085;0.297;medio;0.0705;0.1;10
F;0.48;0.375;0.105;0.525;medio;0.1195;0.155;12
M;0.505;0.4;0.125;0.77;medio;0.159;0.255;13
F;0.52;0.4;0.12;0.6515;medio;0.2015;0.165;15
M;0.525;0.4;0.13;0.8295;medio;0.1825;0.275;11
M;0.545;0.42;0.13;0.879;medio;0.1695;0.23;13
M;0.52;0.4;0.12;0.823;medio;0.1805;0.265;15
M;0.505;0.38;0.13;0.656;medio;0.1785;0.22;13
M;0.525;0.425;0.12;0.8665;medio;0.176;0.29;18
M;0.51;0.39;0.125;0.6565;medio;0.1835;0.175;10
M;0.52;0.385;0.115;0.669;medio;0.172;0.205;12
F;0.52;0.405;0.125;0.6435;medio;0.1735;0.21;12
M;0.535;0.41;0.135;0.862;medio;0.1525;0.32;14
M;0.445;0.345;0.09;0.3795;medio;0.074;0.125;10
M;0.53;0.44;0.205;0.835;medio;0.2175;0.245;14
F;0.36;0.265;0.09;0.2065;medio;0.057;0.06;8
F;0.535;0.42;0.15;0.7365;medio;0.186;0.215;14
F;0.52;0.405;0.14;0.8175;medio;0.183;0.26;17
M;0.53;0.415;0.13;0.8425;medio;0.1945;0.265;20
F;;0.42;0.13;1.001;medio;0.226;0.265;17
F;0.66;0.52;0.2;1.676;pesado;0.4805;0.45;17
M;0.52;0.385;0.14;0.6595;medio;0.2035;0.16;9
M;0.535;0.42;0.13;0.8055;medio;0.181;0.28;14
M;0.695;0.515;0.175;1.5165;pesado;0.4105;0.39;15
F;0.51;0.39;0.105;0.612;medio;0.15;0.195;13
M;0.485;0.355;0.12;0.547;medio;0.1615;0.14;10
F;0.605;0.46;0.17;1.122;medio;0.3045;0.315;13
F;0.58;0.455;0.165;1.1365;medio;0.3005;0.275;13
M;0.65;0.515;0.175;1.4805;pesado;0.272;0.525;20
M;0.62;0.505;0.185;1.5275;pesado;0.368;0.35;13
M;0.615;0.525;0.155;1.1375;medio;0.236;0.37;20
F;0.605;0.495;0.19;1.437;medio;0.2655;0.41;15
M;0.57;0.44;0.155;1.116;medio;0.2315;0.27;13
M;0.57;0.43;0.12;1.0615;medio;0.167;0.31;15
M;0.585;0.405;0.15;1.2565;medio;0.202;0.325;15
F;0.55;0.44;0.155;0.946;medio;0.1825;0.335;16
F;0.54;0.44;0.135;0.959;medio;0.221;0.3;17
M;0.64;0.51;0.19;1.613;pesado;0.361;0.47;14
F;0.61;0.47;0.145;1.153;medio;0.296;0.32;14
M;0.545;0.45;0.15;0.978;medio;0.1905;0.3;11
F;0.59;0.445;0.13;1.1325;medio;0.234;0.32;13
M;0.345;0.27;0.095;0.197;medio;0.05;0.07;9
F;0.55;0.43;0.155;0.785;medio;0.227;0.233;11
F;0.53;0.425;0.17;0.949;medio;0.2395;0.278;17
F;0.53;0.455;0.165;0.9805;medio;0.2815;0.2965;11
I;0.485;0.375;0.14;0.521;medio;0.123;0.17;8
M;0.385;0.275;0.115;0.2685;medio;0.0825;0.085;8
M;0.455;0.34;0.135;0.462;medio;0.158;0.12;9
M;0.49;0.38;0.14;0.7605;medio;0.167;0.185;10
M;0.53;0.41;0.165;0.732;medio;0.17;0.31;11
M;0.505;0.385;0.145;0.6775;medio;0.179;0.2;15
M;0.49;0.38;0.14;0.6385;medio;0.142;0.195;13
M;0.465;0.35;0.14;0.5755;medio;0.1505;0.19;15
F;0.47;0.36;0.145;0.537;medio;0.1375;0.195;15
M;0.56;0.41;0.165;0.93;medio;0.237;0.3;13
M;0.505;0.385;0.15;0.6415;medio;0.152;0.215;12
M;0.515;0.435;0.145;0.8815;medio;0.206;0.255;10
I;0.385;0.28;0.125;0.244;medio;0.038;0.085;6
I;0.215;0.155;0.06;0.0525;medio;0.0165;0.015;5
M;0.55;0.415;0.175;1.042;medio;0.2325;0.2905;15
F;0.515;0.39;0.13;0.5755;medio;0.13;0.1845;9
M;0.495;0.385;0.135;0.709;medio;0.1375;0.262;12
F;0.505;0.39;0.16;0.644;medio;0.2025;0.1635;9
F;0.6;0.465;0.165;0.8875;medio;0.246;0.262;12
F;0.57;0.465;0.16;0.8935;medio;0.2575;0.263;10
F;0.485;0.375;0.135;0.556;medio;0.1315;0.1685;10
M;0.47;0.37;0.18;0.51;medio;0.1285;0.1625;9
M;0.575;0.45;0.165;0.9215;medio;0.225;0.256;12
M;0.58;0.465;0.16;1.0345;medio;0.26;0.3635;12
M;0.515;0.405;0.145;0.695;medio;0.1635;0.234;15
M;0.53;0.41;0.155;0.7155;medio;0.1685;0.214;11
M;0.44;0.335;0.11;0.394;medio;0.096;0.122;9
M;0.52;0.42;0.16;0.745;medio;0.157;0.2885;11
F;0.425;0.345;0.11;0.3665;medio;0.081;0.117;11
M;0.46;0.34;0.135;0.495;medio;0.117;0.185;10
M;0.45;0.335;0.125;0.349;medio;0.1055;0.115;10
M;0.425;0.33;0.13;0.4405;medio;0.0935;0.155;9
I;0.37;0.275;0.1;0.22;medio;0.045;0.065;7
M;0.515;0.38;0.135;0.6615;medio;0.2095;0.155;10
M;0.405;0.305;0.12;0.3185;medio;0.0905;0.095;7
I;0.28;0.205;0.07;0.1015;medio;0.03;0.03;6
F;0.48;0.4;0.125;0.759;medio;0.179;0.24;15
F;0.44;0.34;0.13;0.4195;medio;0.1155;0.13;10
F;0.52;0.41;0.115;0.807;medio;0.179;0.235;12
M;0.505;0.405;0.14;0.875;medio;0.174;0.285;12
F;0.49;0.365;0.13;0.6835;medio;0.1315;0.205;21
I;0.235;0.175;0.055;0.067;medio;0.0125;0.018;6
I;0.255;0.185;0.06;0.088;medio;0.021;0.023;5
I;0.315;0.24;0.085;0.1715;medio;0.0345;0.0535;7
I;0.325;0.25;0.08;0.1735;medio;0.0345;0.049;7
I;0.335;0.25;0.08;0.183;medio;0.04;0.0575;6
I;0.35;0.27;0.09;0.2055;medio;0.0575;0.062;6
I;0.35;0.25;0.07;0.18;medio;0.048;0.054;6
I;0.36;0.3;0.085;0.27;medio;0.064;0.0745;7
I;0.365;0.275;0.135;0.24;medio;0.0445;0.0735;7
I;0.37;0.275;0.14;0.2215;medio;0.0455;0.0615;6
I;0.38;0.275;0.095;0.1375;medio;0.0585;0.0605;7
I;0.385;0.29;0.095;0.312;medio;0.0635;0.086;6
I;0.385;0.3;0.1;0.2895;medio;0.063;0.09;7
I;;0.29;0.095;0.319;medio;0.08;0.082;7
I;;0.29;0.095;0.304;medio;0.084;0.077;6
I;0.4;0.31;0.1;0.306;medio;0.06;0.094;6
I;0.41;0.325;0.1;0.394;medio;0.0655;0.106;6
I;0.415;0.32;0.11;0.3735;medio;0.0755;0.109;7
M;0.415;0.305;0.1;0.325;medio;0.0505;0.091;6
I;0.425;0.325;0.1;0.398;medio;0.0645;0.0945;6
I;0.44;0.365;0.115;0.501;medio;0.084;0.1465;9
I;0.445;0.335;0.1;0.4895;medio;0.086;0.1105;7
I;0.445;0.325;0.1;0.378;medio;0.1;0.089;7
I;0.45;0.35;0.13;0.547;medio;0.1405;0.1405;8
M;0.47;0.375;0.12;0.5805;medio;0.0935;0.169;8
I;0.475;0.365;0.125;0.5465;medio;0.1185;0.172;9
F;0.48;0.365;0.135;0.6395;medio;0.113;0.175;8
I;0.485;0.355;0.105;0.498;medio;0.096;0.1525;9
M;0.49;0.385;0.125;0.609;medio;0.096;0.1775;8
F;0.495;0.41;0.125;0.7555;medio;0.129;0.214;9
M;0.5;0.4;0.125;0.5975;medio;0.1275;0.166;9
M;0.505;0.44;0.14;0.8275;medio;0.1855;0.239;8
M;0.525;0.395;0.13;0.7635;medio;0.1425;0.225;8
M;0.54;0.405;0.125;0.891;medio;0.1915;0.202;9
F;0.54;0.42;0.14;0.805;medio;0.1725;0.21;11
F;0.545;0.44;0.135;0.9185;medio;0.2015;0.2375;10
F;0.55;0.43;0.125;0.923;medio;0.175;0.283;8
M;0.55;0.45;0.15;1.0145;medio;0.2015;0.2875;10
F;0.55;0.45;0.15;0.875;medio;0.1755;0.2765;10
M;0.555;0.435;0.145;0.9685;medio;0.168;0.2385;9
M;0.565;0.45;0.155;1.0595;medio;0.24;0.265;10
M;0.57;0.455;0.15;0.952;medio;0.2155;0.2745;9
M;0.57;0.435;0.13;0.7535;medio;0.1755;0.194;10
F;0.575;0.465;0.14;0.958;medio;0.1815;0.2705;9
M;0.59;0.475;0.165;1.077;medio;0.244;0.3095;9
M;0.59;0.46;0.13;1.102;medio;0.2055;0.33;12
F;0.595;0.48;0.15;1.11;medio;0.228;0.33;10
F;0.595;0.48;0.16;1.2095;pesado;0.296;0.32;8
F;0.595;0.475;0.16;1.1405;pesado;0.231;0.271;6
F;0.595;0.465;0.14;1.113;pesado;0.244;0.305;12
M;0.6;0.475;0.175;1.3445;pesado;0.2875;0.36;11
F;0.6;0.475;0.155;1.21;pesado;0.1695;0.3205;10
M;0.6;0.495;0.175;1.29;pesado;0.276;0.3445;11
F;0.605;0.475;0.175;1.382;pesado;0.2325;0.3985;10
